id,status,name,name_en,province,amphoe,tambon,lat,lng,first_seen,sessions,photo,motdang_url
cm-curated-121-coffee,added,121 Coffee,121 Coffee,cm,เมืองเชียงใหม่,ศรีภูมิ,18.78997,98.978349,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-place-cm-curated-121-coffee.jpg,https://motdang.net/cm/p/121-coffee-121.html
cm-curated-aia,added,AIA,AIA,cm,เมืองเชียงใหม่,,18.780216,98.977235,2026-09-23,1,,https://motdang.net/cm/p/aia-cmcuratedaia.html
cm-curated-alterations-30297,confirmed,รับซ่อมผ้าข้างวัดผาบ่อง,,cm,เมืองเชียงใหม่,ศรีภูมิ,18.789884,98.9822568,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-337-l.jpg,https://motdang.net/cm/p/30297.html
cm-curated-art-play-gashapon,added,ART&PLAY GASHAPON,ART&PLAY GASHAPON,cm,เมืองเชียงใหม่,ศรีภูมิ,18.793226,98.982573,2026-09-23,1,,https://motdang.net/cm/p/art-play-gashapon-cmcuratedartplaygashapon.html
cm-curated-arunpaj,added,อรุณภัสร์,ARUNPAJ,cm,เมืองเชียงใหม่,ศรีภูมิ,18.792497,98.981988,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-358-l.jpg,https://motdang.net/cm/p/arunpaj-cmcuratedarunpaj.html
cm-curated-asia-hotels-group,added,ASIA HOTELS GROUP,ASIA HOTELS GROUP,cm,เมืองเชียงใหม่,หนองหอย,18.759763,99.016001,2026-09-23,1,,https://motdang.net/cm/p/asia-hotels-group-cmcuratedasiahotelsgroup.html
cm-curated-autobot,added,Autobot,Autobot,cm,เมืองเชียงใหม่,หนองหอย,18.76036,99.017643,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-075-l.jpg,https://motdang.net/cm/p/autobot-cmcuratedautobot.html
cm-curated-ayutthaya-thai-kitchen,added,ครัวอยุธยา,Ayutthaya Thai Kitchen,cm,เมืองเชียงใหม่,ศรีภูมิ,18.791408,98.982174,2026-09-23,1,,https://motdang.net/cm/p/ayutthaya-thai-kitchen-cmcuratedayutthayathaikitchen.html
cm-curated-b-quik,added,B-Quik,B-Quik,cm,เมืองเชียงใหม่,,18.777822,98.976857,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-024-l.jpg,https://motdang.net/cm/p/b-quik-cmcuratedbquik.html
cm-curated-bachok-chiang-mai-khawoliti-phroopphoe-ti,added,บจก.เชียงใหม่ควอลิตี้ พร็อพเพอตี้,,cm,เมืองเชียงใหม่,ศรีภูมิ,18.791108,98.978347,2026-09-23,1,,https://motdang.net/cm/p/cmcuratedbachokchiangmaikhawolitiphroopphoeti.html
cm-curated-baifoen-phaman,added,ใบเฟิร์นผ้าม่าน,,cm,เมืองเชียงใหม่,ป่าแดด,18.760798,98.996468,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-132-r.jpg,https://motdang.net/cm/p/cmcuratedbaifoenphaman.html
cm-curated-bake-a-seat,added,Bake A Seat,Bake A Seat,cm,เมืองเชียงใหม่,ศรีภูมิ,18.791052,98.978349,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-place-cm-curated-bake-a-seat.jpg,https://motdang.net/cm/p/bake-a-seat-cmcuratedbakeaseat.html
